id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000078500,01,慈教寺,じきようじ,慈教寺,北海道 中川郡池田町 字旭町三丁目5番地1,42.930107,143.450623,施設,埋葬・信仰・宗教施設,寺院
010000078700,01,谷好寺,こつこうじ,谷好寺,北海道 北斗市 谷好三丁目12番5号,41.811840,140.627991,施設,埋葬・信仰・宗教施設,寺院
010000079100,01,松前藩戸切地陣屋跡,まつまえはんへきりちじんやあと,松前藩戸切地陣屋跡,北海道 上磯郡木古内町 字幸連,41.734713,140.445380,施設,史跡・文化財・遺跡,史跡・文化財
010000079400,01,有川大神宮,ありかわだいじんぐう,有川大神宮,北海道 北斗市 中央一丁目3番3号,41.823292,140.653748,施設,埋葬・信仰・宗教施設,神社
010000079500,01,上磯八幡宮,かみいそはちまんぐう,上磯八幡宮,北海道 上磯郡木古内町 字幸連,41.734713,140.445380,施設,埋葬・信仰・宗教施設,神社
010000079600,01,禅林寺,ぜんりんじ,禅林寺,北海道 北斗市 中央二丁目3番19号,41.822845,140.650940,施設,埋葬・信仰・宗教施設,寺院
010000079700,01,広徳寺,こうとくじ,広徳寺,北海道 室蘭市 みゆき町一丁目6番5号,42.331619,141.009628,施設,埋葬・信仰・宗教施設,寺院
010000079800,01,東光寺,とうこうじ,東光寺,北海道 中川郡幕別町 忠類錦町435番地,42.564850,143.308151,施設,埋葬・信仰・宗教施設,寺院
010000079900,01,妙隆寺,みようりゆうじ,妙隆寺,北海道 登別市 富岸町61番地2,42.393433,141.054108,施設,埋葬・信仰・宗教施設,寺院
010000081000,01,清川寺,せいせんじ,清川寺,北海道 北斗市 野崎85番地,41.850094,140.624969,施設,埋葬・信仰・宗教施設,寺院
010000081300,01,意冨比神社,おおひじんじや,意冨比神社,北海道 北斗市 本町二丁目8番,41.884640,140.642014,施設,埋葬・信仰・宗教施設,神社
010000081400,01,光明寺,こうみようじ,光明寺,北海道 芦別市 常磐町558番地,43.548588,142.146744,施設,埋葬・信仰・宗教施設,寺院
010000081500,01,法亀寺,ほうきじ,法亀寺,北海道 北斗市 向野一丁目14番13号,41.881733,140.638168,施設,埋葬・信仰・宗教施設,寺院
010000081800,01,大郷寺,だいごうじ,大郷寺,北海道 北斗市 本郷一丁目4番,41.890263,140.641037,施設,埋葬・信仰・宗教施設,寺院
010000082900,01,三嶋神社,みしまじんじや,三嶋神社,北海道 函館市 赤川町453番地,41.895499,140.693345,施設,埋葬・信仰・宗教施設,神社
010000083000,01,宝琳寺,ほうりんじ,宝琳寺,北海道 亀田郡七飯町 字桜町529番地,41.903725,140.691376,施設,埋葬・信仰・宗教施設,寺院
010000083100,01,国立療養所裏遺跡,こくりつりようようじようらいせき,国立療養所裏遺跡,北海道 亀田郡七飯町 字本町,41.895759,140.709712,施設,史跡・文化財・遺跡,遺跡
010000083200,01,桜町遺跡,さくらまちいせき,桜町遺跡,北海道 亀田郡七飯町 桜町二丁目,41.901950,140.688181,施設,史跡・文化財・遺跡,遺跡
010000084000,01,聖山遺跡,せいざんいせき,聖山遺跡,北海道 亀田郡七飯町 字峠下,41.931679,140.663378,施設,史跡・文化財・遺跡,遺跡
010000084600,01,大中山神社,おおなかやまじんじや,大中山神社,北海道 札幌市 清田区平岡二条一丁目3番,43.001144,141.444489,施設,埋葬・信仰・宗教施設,神社
010000085900,01,広福寺,こうふくじ,広福寺,北海道 紋別郡湧別町 錦町263番地,44.212242,143.608719,施設,埋葬・信仰・宗教施設,寺院
010000088400,01,尻岸内八幡神社,しりきしないはちまんじんじや,尻岸内八幡神社,北海道 函館市 大澗町194番地,41.746094,141.074265,施設,埋葬・信仰・宗教施設,神社
